StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,intro,gender,age_4,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Referer,Q_num
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent,info,info - 4,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Referer,Q_num
"{""ImportId"":""startDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID1211955313_FIRST_CLICK""}","{""ImportId"":""QID1211955313_LAST_CLICK""}","{""ImportId"":""QID1211955313_PAGE_SUBMIT""}","{""ImportId"":""QID1211955313_CLICK_COUNT""}","{""ImportId"":""QID1211955317""}","{""ImportId"":""QID1211955319_FIRST_CLICK""}","{""ImportId"":""QID1211955319_LAST_CLICK""}","{""ImportId"":""QID1211955319_PAGE_SUBMIT""}","{""ImportId"":""QID1211955319_CLICK_COUNT""}","{""ImportId"":""QID1211955323""}","{""ImportId"":""QID1211955325_FIRST_CLICK""}","{""ImportId"":""QID1211955325_LAST_CLICK""}","{""ImportId"":""QID1211955325_PAGE_SUBMIT""}","{""ImportId"":""QID1211955325_CLICK_COUNT""}","{""ImportId"":""QID1211955329""}","{""ImportId"":""QID1211955331_FIRST_CLICK""}","{""ImportId"":""QID1211955331_LAST_CLICK""}","{""ImportId"":""QID1211955331_PAGE_SUBMIT""}","{""ImportId"":""QID1211955331_CLICK_COUNT""}","{""ImportId"":""QID1211955335""}","{""ImportId"":""QID1211955337_FIRST_CLICK""}","{""ImportId"":""QID1211955337_LAST_CLICK""}","{""ImportId"":""QID1211955337_PAGE_SUBMIT""}","{""ImportId"":""QID1211955337_CLICK_COUNT""}","{""ImportId"":""QID1211955341""}","{""ImportId"":""QID1211955343_FIRST_CLICK""}","{""ImportId"":""QID1211955343_LAST_CLICK""}","{""ImportId"":""QID1211955343_PAGE_SUBMIT""}","{""ImportId"":""QID1211955343_CLICK_COUNT""}","{""ImportId"":""QID1211955347""}","{""ImportId"":""QID1211955349_FIRST_CLICK""}","{""ImportId"":""QID1211955349_LAST_CLICK""}","{""ImportId"":""QID1211955349_PAGE_SUBMIT""}","{""ImportId"":""QID1211955349_CLICK_COUNT""}","{""ImportId"":""QID1211955353""}","{""ImportId"":""QID1211955355_FIRST_CLICK""}","{""ImportId"":""QID1211955355_LAST_CLICK""}","{""ImportId"":""QID1211955355_PAGE_SUBMIT""}","{""ImportId"":""QID1211955355_CLICK_COUNT""}","{""ImportId"":""QID1211955359""}","{""ImportId"":""QID1211955289_FIRST_CLICK""}","{""ImportId"":""QID1211955289_LAST_CLICK""}","{""ImportId"":""QID1211955289_PAGE_SUBMIT""}","{""ImportId"":""QID1211955289_CLICK_COUNT""}","{""ImportId"":""QID1211955293""}","{""ImportId"":""QID1211955295_FIRST_CLICK""}","{""ImportId"":""QID1211955295_LAST_CLICK""}","{""ImportId"":""QID1211955295_PAGE_SUBMIT""}","{""ImportId"":""QID1211955295_CLICK_COUNT""}","{""ImportId"":""QID1211955299""}","{""ImportId"":""QID1211955301_FIRST_CLICK""}","{""ImportId"":""QID1211955301_LAST_CLICK""}","{""ImportId"":""QID1211955301_PAGE_SUBMIT""}","{""ImportId"":""QID1211955301_CLICK_COUNT""}","{""ImportId"":""QID1211955305""}","{""ImportId"":""QID1211955307_FIRST_CLICK""}","{""ImportId"":""QID1211955307_LAST_CLICK""}","{""ImportId"":""QID1211955307_PAGE_SUBMIT""}","{""ImportId"":""QID1211955307_CLICK_COUNT""}","{""ImportId"":""QID1211955311""}","{""ImportId"":""QID1211955361_FIRST_CLICK""}","{""ImportId"":""QID1211955361_LAST_CLICK""}","{""ImportId"":""QID1211955361_PAGE_SUBMIT""}","{""ImportId"":""QID1211955361_CLICK_COUNT""}","{""ImportId"":""QID1211955365""}","{""ImportId"":""QID1211955367_FIRST_CLICK""}","{""ImportId"":""QID1211955367_LAST_CLICK""}","{""ImportId"":""QID1211955367_PAGE_SUBMIT""}","{""ImportId"":""QID1211955367_CLICK_COUNT""}","{""ImportId"":""QID1211955371""}","{""ImportId"":""QID1211955373_FIRST_CLICK""}","{""ImportId"":""QID1211955373_LAST_CLICK""}","{""ImportId"":""QID1211955373_PAGE_SUBMIT""}","{""ImportId"":""QID1211955373_CLICK_COUNT""}","{""ImportId"":""QID1211955377""}","{""ImportId"":""QID1211955379_FIRST_CLICK""}","{""ImportId"":""QID1211955379_LAST_CLICK""}","{""ImportId"":""QID1211955379_PAGE_SUBMIT""}","{""ImportId"":""QID1211955379_CLICK_COUNT""}","{""ImportId"":""QID1211955383""}","{""ImportId"":""Referer""}","{""ImportId"":""Q_num""}"
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_9MPUlyHhPncSHd4,test,,4,5,29,,,,,,6.36,9.42,8.35,13,4,,,,,,,,,,,1.15,2.31,9.55,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,7.14,7.65,9.45,43,6,,,,,,,,,,,,,,,,6.12,7.56,7.17,4,4,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_3FbKDTxOTXYlQJo,test,,4,6,21,8.4,9.26,9.15,28,3,,,,,,,,,,,,,,,,,,,,,7.67,9.2,9.09,36,1,,,,,,,,,,,,,,,,6.56,7.2,9.44,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,5.48,8.85,8.95,22,3,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_3kG2eR0AXj62H7U,test,,4,6,80,,,,,,,,,,,,,,,,9.32,9.98,9.5,37,7,6.53,8.29,8.4,30,6,,,,,,,,,,,,,,,,3.19,8.56,3.34,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.29,7.98,9.54,13,1,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_0dBp9fuP3QWyUgS,test,,4,5,62,,,,,,3.95,9.47,9.35,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.55,6.57,9.88,27,5,,,,,,,,,,,,,,,,7.65,7.75,9.23,17,7,,,,,,,,,,,,,,,,5.38,9.1,5.54,25,5,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_40dKnLAyOYeUhoi,test,,4,5,75,,,,,,7.62,9.49,7.97,4,3,,,,,,,,,,,,,,,,,,,,,0.94,4.87,5.59,22,7,,,,,,0.99,5.24,8.47,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,9.24,9.44,9.69,30,4,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,0,1,03/04/2023 18:25,R_ba5zf3gHTBvO354,test,,4,6,43,,,,,,8.45,8.76,9.71,43,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,2,1.71,32,3,,,,,,,,,,,1.27,2.26,1.71,39,5,,,,,,5.34,8.94,9.65,39,1,,,,,,,,,,,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_9Qzk6Dy3Sus7XDw,test,,4,6,42,,,,,,,,,,,,,,,,3.55,6.23,6.65,30,5,,,,,,,,,,,,,,,,3.7,6.64,8.73,1,2,,,,,,,,,,,8.64,8.98,8.65,28,3,,,,,,,,,,,,,,,,,,,,,1.58,2.33,8.64,3,1,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_9nwtauOKnfJLZBA,test,,4,4,63,7.66,9.01,8.09,25,4,,,,,,,,,,,,,,,,,,,,,4.16,4.63,6.76,50,1,,,,,,,,,,,,,,,,9.41,9.47,9.81,16,1,,,,,,,,,,,,,,,,7.36,9.99,7.78,7,2,,,,,,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_9RFPPsE0EJj84AK,test,,4,5,64,4.88,9.53,5.08,41,7,,,,,,,,,,,,,,,,,,,,,,,,,,2.09,8.36,9.79,25,2,,,,,,9.2,9.44,9.34,6,5,,,,,,,,,,,,,,,,,,,,,1.62,6.22,6.99,10,6,,,,,,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_8IFq4lPW4E5Qxxk,test,,4,4,19,9.04,9.19,9.25,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,7.49,8.46,8.86,36,5,,,,,,,,,,,,,,,,3.08,7.91,9.79,8,1,,,,,,,,,,,,,,,,9.29,9.45,9.86,5,5,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_eRSgBDidwhbIZvw,test,,4,5,72,,,,,,6.86,8.96,8.08,35,4,,,,,,,,,,,,,,,,7.28,9.53,7.91,5,1,,,,,,,,,,,7.35,9.31,7.54,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,9.15,7.98,21,6,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_cIl9yJD8KVMwmiO,test,,4,4,77,,,,,,0.12,7.66,7.34,37,4,,,,,,,,,,,,,,,,,,,,,7.65,8.05,7.88,25,5,,,,,,8.66,9.27,8.79,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,9.13,8.21,19,3,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_dgPKnHNrw3HaiXQ,test,,4,6,67,,,,,,2.34,7.33,6.64,31,4,,,,,,,,,,,8.7,8.79,8.85,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,9.2,9.56,30,4,,,,,,,,,,,,,,,,9.4,9.58,9.61,29,2,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:25,03/04/2023 18:25,2,100,1,1,03/04/2023 18:25,R_2bqtqhCJDvhdRuC,test,,4,6,82,6.39,9.55,8.89,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,9.72,9.08,15,7,,,,,,,,,,,,,,,,9.39,9.89,9.65,37,7,,,,,,3.47,9.43,4.59,16,4,,,,,,,,,,,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
03/04/2023 18:26,03/04/2023 18:26,2,100,1,1,03/04/2023 18:26,R_bHJcTE7eslphSt0,test,,4,5,59,,,,,,7.04,9.96,9.57,39,3,,,,,,,,,,,1.88,7.92,3.2,0,3,,,,,,,,,,,,,,,,,,,,,7.92,8.93,9.36,3,4,,,,,,,,,,,7.28,8.65,8.75,42,4,,,,,,,,,,,,,,,,https://bgu.qualtrics.com/survey-builder/SV_bKuEQWtZm8qxWw6/edit?SurveyID=SV_bKuEQWtZm8qxWw6,
