StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,intro,gender,age_4,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,A,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,N,Referer,Q_num
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Consent,info,info - 4,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"בעיניך- כמה אטרקטיבי האדם שהוצג בתמונה האחרונה שראית?

דרג/י מ1-7 כאשר:

1= לא אטרקטיבי כלל

4= ניטרלי

7= אטרקטיבי מאוד",Referer,Q_num
"{""ImportId"":""startDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Athens""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID1211955313_FIRST_CLICK""}","{""ImportId"":""QID1211955313_LAST_CLICK""}","{""ImportId"":""QID1211955313_PAGE_SUBMIT""}","{""ImportId"":""QID1211955313_CLICK_COUNT""}","{""ImportId"":""QID1211955317""}","{""ImportId"":""QID1211955319_FIRST_CLICK""}","{""ImportId"":""QID1211955319_LAST_CLICK""}","{""ImportId"":""QID1211955319_PAGE_SUBMIT""}","{""ImportId"":""QID1211955319_CLICK_COUNT""}","{""ImportId"":""QID1211955323""}","{""ImportId"":""QID1211955325_FIRST_CLICK""}","{""ImportId"":""QID1211955325_LAST_CLICK""}","{""ImportId"":""QID1211955325_PAGE_SUBMIT""}","{""ImportId"":""QID1211955325_CLICK_COUNT""}","{""ImportId"":""QID1211955329""}","{""ImportId"":""QID1211955331_FIRST_CLICK""}","{""ImportId"":""QID1211955331_LAST_CLICK""}","{""ImportId"":""QID1211955331_PAGE_SUBMIT""}","{""ImportId"":""QID1211955331_CLICK_COUNT""}","{""ImportId"":""QID1211955335""}","{""ImportId"":""QID1211955337_FIRST_CLICK""}","{""ImportId"":""QID1211955337_LAST_CLICK""}","{""ImportId"":""QID1211955337_PAGE_SUBMIT""}","{""ImportId"":""QID1211955337_CLICK_COUNT""}","{""ImportId"":""QID1211955341""}","{""ImportId"":""QID1211955343_FIRST_CLICK""}","{""ImportId"":""QID1211955343_LAST_CLICK""}","{""ImportId"":""QID1211955343_PAGE_SUBMIT""}","{""ImportId"":""QID1211955343_CLICK_COUNT""}","{""ImportId"":""QID1211955347""}","{""ImportId"":""QID1211955349_FIRST_CLICK""}","{""ImportId"":""QID1211955349_LAST_CLICK""}","{""ImportId"":""QID1211955349_PAGE_SUBMIT""}","{""ImportId"":""QID1211955349_CLICK_COUNT""}","{""ImportId"":""QID1211955353""}","{""ImportId"":""QID1211955355_FIRST_CLICK""}","{""ImportId"":""QID1211955355_LAST_CLICK""}","{""ImportId"":""QID1211955355_PAGE_SUBMIT""}","{""ImportId"":""QID1211955355_CLICK_COUNT""}","{""ImportId"":""QID1211955359""}","{""ImportId"":""QID1211955289_FIRST_CLICK""}","{""ImportId"":""QID1211955289_LAST_CLICK""}","{""ImportId"":""QID1211955289_PAGE_SUBMIT""}","{""ImportId"":""QID1211955289_CLICK_COUNT""}","{""ImportId"":""QID1211955293""}","{""ImportId"":""QID1211955295_FIRST_CLICK""}","{""ImportId"":""QID1211955295_LAST_CLICK""}","{""ImportId"":""QID1211955295_PAGE_SUBMIT""}","{""ImportId"":""QID1211955295_CLICK_COUNT""}","{""ImportId"":""QID1211955299""}","{""ImportId"":""QID1211955301_FIRST_CLICK""}","{""ImportId"":""QID1211955301_LAST_CLICK""}","{""ImportId"":""QID1211955301_PAGE_SUBMIT""}","{""ImportId"":""QID1211955301_CLICK_COUNT""}","{""ImportId"":""QID1211955305""}","{""ImportId"":""QID1211955307_FIRST_CLICK""}","{""ImportId"":""QID1211955307_LAST_CLICK""}","{""ImportId"":""QID1211955307_PAGE_SUBMIT""}","{""ImportId"":""QID1211955307_CLICK_COUNT""}","{""ImportId"":""QID1211955311""}","{""ImportId"":""QID1211955361_FIRST_CLICK""}","{""ImportId"":""QID1211955361_LAST_CLICK""}","{""ImportId"":""QID1211955361_PAGE_SUBMIT""}","{""ImportId"":""QID1211955361_CLICK_COUNT""}","{""ImportId"":""QID1211955365""}","{""ImportId"":""QID1211955367_FIRST_CLICK""}","{""ImportId"":""QID1211955367_LAST_CLICK""}","{""ImportId"":""QID1211955367_PAGE_SUBMIT""}","{""ImportId"":""QID1211955367_CLICK_COUNT""}","{""ImportId"":""QID1211955371""}","{""ImportId"":""QID1211955373_FIRST_CLICK""}","{""ImportId"":""QID1211955373_LAST_CLICK""}","{""ImportId"":""QID1211955373_PAGE_SUBMIT""}","{""ImportId"":""QID1211955373_CLICK_COUNT""}","{""ImportId"":""QID1211955377""}","{""ImportId"":""QID1211955379_FIRST_CLICK""}","{""ImportId"":""QID1211955379_LAST_CLICK""}","{""ImportId"":""QID1211955379_PAGE_SUBMIT""}","{""ImportId"":""QID1211955379_CLICK_COUNT""}","{""ImportId"":""QID1211955383""}","{""ImportId"":""Referer""}","{""ImportId"":""Q_num""}"
11/05/2023 10:06,11/05/2023 10:16,0,100,604,1,11/05/2023 10:16,R_2Ui0sBGsuEmTEtr,anonymous,HE,4,4,27,,,,,,,,,,,0,0,60.019,0,4,,,,,,0,0,60.029,0,5,,,,,,,,,,,,,,,,,,,,,0,0,60.021,0,2,,,,,,,,,,,,,,,,,,,,,0,0,60.023,0,4,,,,,,,
11/05/2023 10:22,11/05/2023 10:31,0,100,501,1,11/05/2023 10:31,R_3hgS02KtvyAJNEp,anonymous,HE,4,4,27,,,,,,0,0,60.032,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.039,0,3,,,,,,,,,,,,,,,,0,0,60.019,0,4,,,,,,,,,,,0,0,60.028,0,3,,,,,,,
11/05/2023 10:47,11/05/2023 10:57,0,100,545,1,11/05/2023 10:57,R_1ezAVHQafPFdOXK,anonymous,HE,4,5,23,,,,,,,,,,,,,,,,0,0,60.028,0,2,,,,,,,,,,,,,,,,0,0,60.021,0,4,,,,,,0,0,60.022,0,1,,,,,,,,,,,,,,,,0,0,60.024,0,1,,,,,,,,,,,,
11/05/2023 10:57,11/05/2023 11:05,0,100,510,1,11/05/2023 11:05,R_2BxKO246rpmNnjw,anonymous,HE,4,4,25,,,,,,0,0,60.014,0,4,,,,,,,,,,,0,0,60.017,0,3,,,,,,,,,,,,,,,,,,,,,0,0,60.02,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.017,0,5,,
11/05/2023 11:03,11/05/2023 11:11,0,100,477,1,11/05/2023 11:11,R_blzcspgdOD0RovD,anonymous,HE,4,4,26,,,,,,,,,,,,,,,,0,0,60.031,0,5,,,,,,0,0,60.026,0,3,,,,,,,,,,,,,,,,0,0,60.023,0,5,,,,,,,,,,,,,,,,,,,,,0,0,60.024,0,6,,,,,,,
11/05/2023 12:04,11/05/2023 12:20,0,100,931,1,11/05/2023 12:20,R_3FPt7Th1FacOSUQ,anonymous,HE,4,4,25,,,,,,22.212,45.163,60.035,2,5,,,,,,,,,,,0,0,67.202,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.403,44.05,60.023,2,4,23.43,46.839,60.101,2,4,,,,,,,,,,,,,,,,,
11/05/2023 12:20,11/05/2023 12:28,0,100,490,1,11/05/2023 12:28,R_25YBFeEOBwyoZlK,anonymous,HE,4,5,24,,,,,,,,,,,0,0,60.026,0,4,,,,,,,,,,,0,0,60.012,0,2,,,,,,,,,,,,,,,,,,,,,0,0,60.026,0,4,,,,,,,,,,,,,,,,0,0,60.023,0,3,,,,,,,
11/05/2023 12:18,11/05/2023 12:33,0,100,902,1,11/05/2023 12:33,R_2wobtkjC10qISKq,anonymous,HE,4,4,25,,,,,,,,,,,,,,,,0,0,60.019,0,3,,,,,,,,,,,,,,,,0,0,60.027,0,3,,,,,,,,,,,0,0,60.02,0,2,,,,,,0,0,60.024,0,4,,,,,,,,,,,,,,,,,
11/05/2023 12:31,11/05/2023 12:40,0,100,524,1,11/05/2023 12:40,R_1hzfQZyyJmyQw2e,anonymous,HE,4,4,26,,,,,,0,0,60.019,0,4,,,,,,,,,,,0,0,60.027,0,4,,,,,,,,,,,,,,,,0,0,60.02,0,4,,,,,,,,,,,,,,,,,,,,,0,0,60.025,0,5,,,,,,,,,,,,
11/05/2023 12:37,11/05/2023 12:46,0,100,500,1,11/05/2023 12:46,R_3jYSTb4zkqGGd4k,anonymous,HE,4,4,26,0,0,60.035,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.036,0,5,,,,,,,,,,,,,,,,0,0,60.025,0,4,,,,,,0,0,60.025,0,3,,,,,,,,,,,,,,,,,
11/05/2023 12:46,11/05/2023 12:54,0,100,522,1,11/05/2023 12:54,R_1fj8Kfp7mhVQhKA,anonymous,HE,4,4,24,,,,,,,,,,,0,0,60.023,0,6,,,,,,,,,,,0,0,60.023,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.017,0,5,,,,,,0,0,60.027,0,4,,,,,,,,,,,,
11/05/2023 13:33,11/05/2023 13:42,0,100,539,1,11/05/2023 13:42,R_3iQOE3p0LQy5P5H,anonymous,HE,4,4,25,0,0,60.021,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.017,0,4,,,,,,0,0,60.015,0,5,,,,,,,,,,,,,,,,0,0,60.022,0,4,,,,,,,,,,,,
11/05/2023 13:35,11/05/2023 13:43,0,100,499,1,11/05/2023 13:43,R_2ylSf2aW8ZsqyWS,anonymous,HE,4,4,24,,,,,,,,,,,0,0,60.033,0,5,,,,,,,,,,,,,,,,,,,,,0,0,60.033,0,3,,,,,,,,,,,0,0,60.033,0,5,,,,,,,,,,,0,0,60.03,0,5,,,,,,,,,,,,
11/05/2023 13:40,11/05/2023 13:49,0,100,498,1,11/05/2023 13:49,R_d4rBWCDHOWE5rZT,anonymous,HE,4,4,24,0,0,60.039,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.033,0,5,,,,,,,,,,,0,0,60.037,0,5,,,,,,,,,,,,,,,,,,,,,0,0,60.028,0,6,,,,,,,
11/05/2023 13:44,11/05/2023 14:01,0,100,1059,1,11/05/2023 14:01,R_8vvBKOz7k0FFpOV,anonymous,HE,4,4,27,0,0,60.017,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.015,0,3,,,,,,,,,,,,,,,,0,0,61.723,0,3,,,,,,,,,,,,,,,,,,,,,0,0,60.014,0,6,,
11/05/2023 13:55,11/05/2023 14:03,0,100,512,1,11/05/2023 14:03,R_28ILp3P1vYLtkJJ,anonymous,HE,4,4,26,,,,,,,,,,,0,0,60.014,0,6,,,,,,,,,,,,,,,,0,0,60.019,0,3,,,,,,,,,,,0,0,60.023,0,6,,,,,,,,,,,,,,,,,,,,,0,0,60.011,0,6,,,,,,,
11/05/2023 14:00,11/05/2023 14:09,0,100,551,1,11/05/2023 14:09,R_2EtbmAIChAWnJJq,anonymous,HE,4,4,23,,,,,,,,,,,0,0,60.028,0,3,,,,,,,,,,,,,,,,,,,,,0,0,60.021,0,4,,,,,,,,,,,,,,,,0,0,60.019,0,5,,,,,,,,,,,,,,,,0,0,60.022,0,4,,
11/05/2023 14:16,11/05/2023 14:24,0,100,481,1,11/05/2023 14:24,R_3g1NXLBMpE4T2KT,anonymous,HE,4,4,25,,,,,,,,,,,,,,,,0,0,60.027,0,3,,,,,,0,0,60.025,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.033,0,3,,,,,,,,,,,,,,,,0,0,60.03,0,4,,
11/05/2023 14:50,11/05/2023 14:58,0,100,501,1,11/05/2023 14:59,R_6Aud9BfolI5rNLz,anonymous,HE,4,4,25,,,,,,,,,,,0,0,60.019,0,3,,,,,,0,0,60.023,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.018,0,6,,,,,,,,,,,0,0,60.014,0,4,,,,,,,,,,,,
11/05/2023 15:01,11/05/2023 15:10,0,100,534,1,11/05/2023 15:10,R_2axC4NTXk8CEXai,anonymous,HE,4,4,24,,,,,,,,,,,,,,,,0,0,60.028,0,4,,,,,,0,0,60.018,0,3,,,,,,,,,,,,,,,,0,0,60.022,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60.036,0,4,,
11/05/2023 15:06,11/05/2023 15:14,0,100,466,1,11/05/2023 15:14,R_21vLi0dZpLtwjWi,anonymous,HE,4,5,26,,,,,,,,,,,,,,,,0,0,60.024,0,5,,,,,,,,,,,,,,,,0,0,60.014,0,5,,,,,,,,,,,0,0,60.025,0,4,,,,,,,,,,,0,0,60.011,0,5,,,,,,,,,,,,
